kernel_ns,app_mono_ns,src,sport,dst,dport,sequence,counter,flags,mode
1787953096116586438,4673201442862,192.168.20.11,51506,192.168.20.255,12445,112,112,8,3
1787953096117714827,4673202572881,192.168.20.11,51506,192.168.20.255,12445,113,113,8,3
1787953096118822549,4673203680177,192.168.20.11,51506,192.168.20.255,12445,114,114,8,3
1787953096119940401,4673204796640,192.168.20.11,51506,192.168.20.255,12445,115,115,8,3
1787953096215602512,4673300519955,192.168.20.11,51506,192.168.20.255,12445,116,116,8,3
1787953096216718364,4673301579492,192.168.20.11,51506,192.168.20.255,12445,117,117,8,3
1787953096217830938,4673302686806,192.168.20.11,51506,192.168.20.255,12445,118,118,8,3
1787953096218961493,4673303817399,192.168.20.11,51506,192.168.20.255,12445,119,119,8,3
1787953096220082252,4673304938510,192.168.20.11,51506,192.168.20.255,12445,120,120,8,3
1787953096221200327,4673306055436,192.168.20.11,51506,192.168.20.255,12445,121,121,8,3
1787953096222324419,4673307181269,192.168.20.11,51506,192.168.20.255,12445,122,122,8,3
1787953096318107086,4673403020269,192.168.20.11,51506,192.168.20.255,12445,123,123,8,3
1787953096319293326,4673404158640,192.168.20.11,51506,192.168.20.255,12445,124,124,8,3
1787953096320421382,4673405282251,192.168.20.11,51506,192.168.20.255,12445,125,125,8,3
1787953096321622012,4673406478047,192.168.20.11,51506,192.168.20.255,12445,126,126,8,3
1787953096322787456,4673407642584,192.168.20.11,51506,192.168.20.255,12445,127,127,8,3
1787953096325402215,4673410257843,192.168.20.11,51506,192.168.20.255,12445,129,129,8,3
1787953096420532512,4673505461232,192.168.20.11,51506,192.168.20.255,12445,130,130,8,3
1787953096421643123,4673506505251,192.168.20.11,51506,192.168.20.255,12445,131,131,8,3
1787953096422773956,4673507630640,192.168.20.11,51506,192.168.20.255,12445,132,132,8,3
1787953096423894141,4673508751732,192.168.20.11,51506,192.168.20.255,12445,133,133,8,3
1787953096425011234,4673509869732,192.168.20.11,51506,192.168.20.255,12445,134,134,8,3
1787953096426132456,4673510989491,192.168.20.11,51506,192.168.20.255,12445,135,135,8,3
1787953096522820178,4673607729973,192.168.20.11,51506,192.168.20.255,12445,136,136,8,3
1787953096523964882,4673608829084,192.168.20.11,51506,192.168.20.255,12445,137,137,8,3
1787953096525116715,4673609973510,192.168.20.11,51506,192.168.20.255,12445,138,138,8,3
1787953096526273049,4673611128899,192.168.20.11,51506,192.168.20.255,12445,139,139,8,3
1787953096527428234,4673612283917,192.168.20.11,51506,192.168.20.255,12445,140,140,8,3
1787953096528583974,4673613440973,192.168.20.11,51506,192.168.20.255,12445,141,141,8,3
1787953096625267104,4673710184380,192.168.20.11,51506,192.168.20.255,12445,143,143,8,3
1787953096626403734,4673711267325,192.168.20.11,51506,192.168.20.255,12445,144,144,8,3
1787953096627585882,4673712446547,192.168.20.11,51506,192.168.20.255,12445,145,145,8,3
1787953096628744734,4673713601454,192.168.20.11,51506,192.168.20.255,12445,146,146,8,3
1787953096629923641,4673714801010,192.168.20.11,51506,192.168.20.255,12445,147,147,8,3
1787953096632212678,4673717073491,192.168.20.11,51506,192.168.20.255,12445,149,149,8,3
1787953096727645178,4673812537676,192.168.20.11,51506,192.168.20.255,12445,150,150,8,3
1787953096728789808,4673813648436,192.168.20.11,51506,192.168.20.255,12445,151,151,8,3
1787953096729970789,4673814942176,192.168.20.11,51506,192.168.20.255,12445,152,152,8,3
1787953096731106993,4673815972862,192.168.20.11,51506,192.168.20.255,12445,153,153,8,3
1787953096732258715,4673817118213,192.168.20.11,51506,192.168.20.255,12445,154,154,8,3
1787953096733413067,4673818268973,192.168.20.11,51506,192.168.20.255,12445,155,155,8,3
1787953096734566085,4673819423306,192.168.20.11,51506,192.168.20.255,12445,156,156,8,3
1787953096830017530,4673914920047,192.168.20.11,51506,192.168.20.255,12445,157,157,8,3
1787953096831182456,4673916059732,192.168.20.11,51506,192.168.20.255,12445,158,158,8,3
1787953096832320919,4673917181936,192.168.20.11,51506,192.168.20.255,12445,159,159,8,3
1787953096833478622,4673918335325,192.168.20.11,51506,192.168.20.255,12445,160,160,8,3
1787953096834633437,4673919490750,192.168.20.11,51506,192.168.20.255,12445,161,161,8,3
1787953096835798567,4673920675954,192.168.20.11,51506,192.168.20.255,12445,162,162,8,3
1787953096932447808,4674017371047,192.168.20.11,51506,192.168.20.255,12445,164,164,8,3
1787953096933598252,4674018478602,192.168.20.11,51506,192.168.20.255,12445,165,165,8,3
1787953096934747845,4674019606880,192.168.20.11,51506,192.168.20.255,12445,166,166,8,3
1787953096937055067,4674021913010,192.168.20.11,51506,192.168.20.255,12445,168,168,8,3
1787953096938212548,4674023068565,192.168.20.11,51506,192.168.20.255,12445,169,169,8,3
1787953096939380308,4674024265454,192.168.20.11,51506,192.168.20.255,12445,170,170,8,3
1787953097034851993,4674119764473,192.168.20.11,51506,192.168.20.255,12445,171,171,8,3
1787953097035997715,4674120877398,192.168.20.11,51506,192.168.20.255,12445,172,172,8,3
1787953097037164863,4674122043084,192.168.20.11,51506,192.168.20.255,12445,173,173,8,3
1787953097038305659,4674123164510,192.168.20.11,51506,192.168.20.255,12445,174,174,8,3
1787953097039451919,4674124309584,192.168.20.11,51506,192.168.20.255,12445,175,175,8,3
1787953097040617974,4674125474473,192.168.20.11,51506,192.168.20.255,12445,176,176,8,3
1787953097137221067,4674222135935,192.168.20.11,51506,192.168.20.255,12445,177,177,8,3
1787953097138333956,4674223195824,192.168.20.11,51506,192.168.20.255,12445,178,178,8,3
1787953097139450567,4674224307602,192.168.20.11,51506,192.168.20.255,12445,179,179,8,3
1787953097140563604,4674225420602,192.168.20.11,51506,192.168.20.255,12445,180,180,8,3
1787953097141696696,4674226557047,192.168.20.11,51506,192.168.20.255,12445,181,181,8,3
1787953097142811104,4674227667472,192.168.20.11,51506,192.168.20.255,12445,182,182,8,3
1787953097143920104,4674228776454,192.168.20.11,51506,192.168.20.255,12445,183,183,8,3
1787953097239595993,4674324509213,192.168.20.11,51506,192.168.20.255,12445,184,184,8,3
1787953097240710548,4674325571621,192.168.20.11,51506,192.168.20.255,12445,185,185,8,3
1787953097241822381,4674326677824,192.168.20.11,51506,192.168.20.255,12445,186,186,8,3
1787953097242944604,4674327800658,192.168.20.11,51506,192.168.20.255,12445,187,187,8,3
1787953097244061326,4674328916769,192.168.20.11,51506,192.168.20.255,12445,188,188,8,3
1787953097245187511,4674330042898,192.168.20.11,51506,192.168.20.255,12445,189,189,8,3
1787953097246301622,4674331160084,192.168.20.11,51506,192.168.20.255,12445,190,190,8,3
1787953097342016048,4674426955676,192.168.20.11,51506,192.168.20.255,12445,191,191,8,3
1787953097343122418,4674427983509,192.168.20.11,51506,192.168.20.255,12445,192,192,8,3
1787953097344232807,4674429091472,192.168.20.11,51506,192.168.20.255,12445,193,193,8,3
1787953097345378567,4674430234750,192.168.20.11,51506,192.168.20.255,12445,194,194,8,3
1787953097346498659,4674431353398,192.168.20.11,51506,192.168.20.255,12445,195,195,8,3
1787953097347614363,4674432470658,192.168.20.11,51506,192.168.20.255,12445,196,196,8,3
1787953097348737659,4674433592583,192.168.20.11,51506,192.168.20.255,12445,197,197,8,3
1787953097444445622,4674529375713,192.168.20.11,51506,192.168.20.255,12445,198,198,8,3
1787953097445562918,4674530429639,192.168.20.11,51506,192.168.20.255,12445,199,199,8,3
