event,sequence,counter,valid_self,adopted,realtime_ns,kernel_ns,monotonic_ns,write_end_ns,written,socket_drop_total,trace_record_overflow
tx,92,92,1,1,1787953772387270738,1787953772386924164,5349472078922,5349472094644,72,0,0
rx,93,93,1,1,1787953772403279572,1787953772402481923,5349488087644,0,0,0,0
tx,93,93,1,1,1787953772403283146,1787953772402481923,5349488091422,5349488108181,72,0,0
rx,94,94,1,1,1787953772418228609,1787953772417416016,5349503036681,0,0,0,0
tx,94,94,1,1,1787953772418232423,1787953772417416016,5349503040607,5349503052959,72,0,0
rx,95,95,1,1,1787953772432100183,1787953772431907738,5349516908255,0,0,0,0
tx,95,95,1,1,1787953772432103646,1787953772431907738,5349516911829,5349516923551,72,0,0
rx,96,96,1,1,1787953772448121868,1787953772447249294,5349532929922,0,0,0,0
tx,96,96,1,1,1787953772448125812,1787953772447249294,5349532934014,5349532953959,72,0,0
rx,97,97,1,1,1787953772463096775,1787953772462218923,5349547904718,0,0,0,0
tx,97,97,1,1,1787953772463100979,1787953772462218923,5349547909181,5349547924811,72,0,0
rx,98,98,1,1,1787953772478042553,1787953772477147849,5349562850607,0,0,0,0
tx,98,98,1,1,1787953772478046109,1787953772477147849,5349562854311,5349562866385,72,0,0
rx,99,99,1,1,1787953772494103146,1787953772493084016,5349578911200,0,0,0,0
tx,99,99,1,1,1787953772494107201,1787953772493084016,5349578915422,5349578933718,72,0,0
rx,100,100,1,1,1787953772507993072,1787953772506977831,5349592801125,0,0,0,0
tx,100,100,1,1,1787953772507996905,1787953772506977831,5349592805144,5349592817144,72,0,0
rx,101,101,1,1,1787953772522929775,1787953772522105072,5349607737848,0,0,0,0
tx,101,101,1,1,1787953772522933275,1787953772522105072,5349607741459,5349607753218,72,0,0
rx,102,102,1,1,1787953772537871460,1787953772537108812,5349622679533,0,0,0,0
tx,102,102,1,1,1787953772537874997,1787953772537108812,5349622683181,5349622697459,72,0,0
rx,103,103,1,1,1787953772553903090,1787953772552848683,5349638711163,0,0,0,0
tx,103,103,1,1,1787953772553907109,1787953772552848683,5349638715385,5349638731829,72,0,0
rx,104,104,1,1,1787953772567792016,1787953772567367368,5349652600070,0,0,0,0
tx,104,104,1,1,1787953772567795849,1787953772567367368,5349652604033,5349652620718,72,0,0
rx,105,105,1,1,1787953772582744109,1787953772582167701,5349667552181,0,0,0,0
tx,105,105,1,1,1787953772582747849,1787953772582167701,5349667556033,5349667570829,72,0,0
rx,106,106,1,1,1787953772597691664,1787953772597150738,5349682499737,0,0,0,0
tx,106,106,1,1,1787953772597697442,1787953772597150738,5349682505681,5349682522459,72,0,0
rx,107,107,1,1,1787953772612641201,1787953772612282849,5349697449255,0,0,0,0
tx,107,107,1,1,1787953772612644831,1787953772612282849,5349697453070,5349697465070,72,0,0
rx,108,108,1,1,1787953772627576683,1787953772627315923,5349712384755,0,0,0,0
tx,108,108,1,1,1787953772627580405,1787953772627315923,5349712388588,5349712400848,72,0,0
rx,109,109,1,1,1787953772642526053,1787953772642268738,5349727334125,0,0,0,0
tx,109,109,1,1,1787953772642530312,1787953772642268738,5349727338496,5349727357292,72,0,0
rx,110,110,1,1,1787953772658545923,1787953772657908831,5349743353977,0,0,0,0
tx,110,110,1,1,1787953772658549201,1787953772657908831,5349743357403,5349743371199,72,0,0
rx,111,111,1,1,1787953772672424738,1787953772672019460,5349757232811,0,0,0,0
