kernel_ns,app_mono_ns,src,sport,dst,dport,sequence,counter,flags,mode
1787953595239816918,5172324689250,192.168.20.11,50262,192.168.20.108,12345,173,173,8,3
1787953595254242085,5172339099490,192.168.20.11,50262,192.168.20.108,12345,174,174,8,3
1787953595269851011,5172354711157,192.168.20.11,50262,192.168.20.108,12345,175,175,8,3
1787953595284778233,5172369651601,192.168.20.11,50262,192.168.20.108,12345,176,176,8,3
1787953595300516788,5172385374620,192.168.20.11,50262,192.168.20.108,12345,177,177,8,3
1787953595315076177,5172399945416,192.168.20.11,50262,192.168.20.108,12345,178,178,8,3
1787953595329367733,5172414248842,192.168.20.11,50262,192.168.20.108,12345,179,179,8,3
1787953595344677270,5172429549268,192.168.20.11,50262,192.168.20.108,12345,180,180,8,3
1787953595359636714,5172444493361,192.168.20.11,50262,192.168.20.108,12345,181,181,8,3
1787953595375046548,5172459927935,192.168.20.11,50262,192.168.20.108,12345,182,182,8,3
1787953595389419455,5172474278694,192.168.20.11,50262,192.168.20.108,12345,183,183,8,3
1787953595404441918,5172489297379,192.168.20.11,50262,192.168.20.108,12345,184,184,8,3
1787953595420460881,5172505330583,192.168.20.11,50262,192.168.20.108,12345,185,185,8,3
1787953595434337603,5172519215101,192.168.20.11,50262,192.168.20.108,12345,186,186,8,3
1787953595449745233,5172534606101,192.168.20.11,50262,192.168.20.108,12345,187,187,8,3
1787953595464551270,5172549410453,192.168.20.11,50262,192.168.20.108,12345,188,188,8,3
1787953595479451436,5172564329305,192.168.20.11,50262,192.168.20.108,12345,189,189,8,3
1787953595494752066,5172579610472,192.168.20.11,50262,192.168.20.108,12345,190,190,8,3
1787953595510347677,5172595203546,192.168.20.11,50262,192.168.20.108,12345,191,191,8,3
1787953595525587603,5172610475787,192.168.20.11,50262,192.168.20.108,12345,192,192,8,3
1787953595539525307,5172624387879,192.168.20.11,50262,192.168.20.108,12345,193,193,8,3
1787953595554744510,5172639600564,192.168.20.11,50262,192.168.20.108,12345,194,194,8,3
1787953595569715862,5172654575805,192.168.20.11,50262,192.168.20.108,12345,195,195,8,3
1787953595584803047,5172669681083,192.168.20.11,50262,192.168.20.108,12345,196,196,8,3
1787953595599800510,5172684704194,192.168.20.11,50262,192.168.20.108,12345,197,197,8,3
1787953595614549621,5172699454231,192.168.20.11,50262,192.168.20.108,12345,198,198,8,3
1787953595631131603,5172716115527,192.168.20.11,50262,192.168.20.108,12345,199,199,8,3
1787953595644803844,5172729707712,192.168.20.11,50262,192.168.20.108,12345,200,200,8,3
1787953595659406455,5172744306527,192.168.20.11,50262,192.168.20.108,12345,201,0,8,3
1787953595675487251,5172760414212,192.168.20.11,50262,192.168.20.108,12345,202,1,8,3
1787953595689565270,5172774499453,192.168.20.11,50262,192.168.20.108,12345,203,2,8,3
1787953595704766251,5172789690379,192.168.20.11,50262,192.168.20.108,12345,204,3,8,3
1787953595720123270,5172805062638,192.168.20.11,50262,192.168.20.108,12345,205,4,8,3
1787953595736343788,5172821285509,192.168.20.11,50262,192.168.20.108,12345,206,5,8,3
1787953595749816621,5172834733694,192.168.20.11,50262,192.168.20.108,12345,207,6,8,3
1787953595764609232,5172849530157,192.168.20.11,50262,192.168.20.108,12345,208,7,8,3
1787953595779611251,5172864580749,192.168.20.11,50262,192.168.20.108,12345,209,8,8,3
1787953595794618344,5172879537879,192.168.20.11,50262,192.168.20.108,12345,210,9,8,3
1787953595809373640,5172894285842,192.168.20.11,50262,192.168.20.108,12345,211,10,8,3
1787953595824417714,5172909373953,192.168.20.11,50262,192.168.20.108,12345,212,11,8,3
1787953595840353788,5172925269249,192.168.20.11,50262,192.168.20.108,12345,213,12,8,3
1787953595854843695,5172939756675,192.168.20.11,50262,192.168.20.108,12345,214,13,8,3
1787953595869795066,5172954768675,192.168.20.11,50262,192.168.20.108,12345,215,14,8,3
1787953595884786269,5172969719860,192.168.20.11,50262,192.168.20.108,12345,216,15,8,3
1787953595899586251,5172984502323,192.168.20.11,50262,192.168.20.108,12345,217,16,8,3
1787953595914389251,5172999315638,192.168.20.11,50262,192.168.20.108,12345,218,17,8,3
1787953595929995177,5173014957971,192.168.20.11,50262,192.168.20.108,12345,219,18,8,3
1787953595945130584,5173030049379,192.168.20.11,50262,192.168.20.108,12345,220,19,8,3
1787953595959447047,5173044358360,192.168.20.11,50262,192.168.20.108,12345,221,20,8,3
1787953595974805843,5173059758601,192.168.20.11,50262,192.168.20.108,12345,222,21,8,3
1787953595990692658,5173075615046,192.168.20.11,50262,192.168.20.108,12345,223,22,8,3
1787953596004779584,5173089710860,192.168.20.11,50262,192.168.20.108,12345,224,23,8,3
